16:17:16  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1391331759','Turkey','turkey',2.367,'zzzzz')
16:17:32  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('613204605','Ecuador','ecuador',4.37,'zzzzz')
16:17:46  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('38760738','Costa Rica',''+NULL+'',1.823,'zzzzz')
16:18:1  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('597640196','Georgia','georgia',1.693,'zzzzz')
16:18:9  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1302164268','The United Arab Emirates','eau',1.789,'zzzzz')
16:18:17  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1794957512','The Bahamas','bahamas',3.475,'emmaa')
16:18:25  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('541706953','Barbados','barbade',1.448,'zzzzz')
16:18:36  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1516622261','Pakistan',''+NULL+'',2.54,'zzzzz')
16:18:51  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1928896102','Gambia','gambia',1.596,'zzzzz')
16:19:2  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('134283010','Grenada','grenada',1.514,'zzzzz')
16:19:10  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1013438434','Algeria','algeria',2.785,'zzzzz')
16:19:19  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('746440889','Albania','albania',3.305,'zzzzz')
16:19:31  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-621162290','Palestine',''+NULL+'',6.187,'zzzzz')
16:19:38  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-865352386','Republic of the Marshall Islands',''+NULL+'',2.177,'zzzzz')
16:19:48  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1720124748','Tajikistan',''+NULL+'',2.709,'zzzzz')
16:19:55  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1645242514','Republic of Benin','benin',3.008,'zzzzz')
16:20:2  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('96232770','Togo','togo',1.883,'emmaa')
16:20:18  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1630250961','Haiti','haiti',1.343,'zzzzz')
16:20:32  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1064059210','Zambia','zambia',2.98,'zzzzz')
16:20:45  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('706534900','Yemen','yemen',6.237,'emmaa')
16:20:54  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('881619668','South Korea',''+NULL+'',2.6,'zzzzz')
16:21:9  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('382794613','Guinea','guinea',1.77,'zzzzz')
16:21:18  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-333258542','Eritrea','eritrea',1.783,'zzzzz')
16:21:30  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-916444684','Kazakhstan',''+NULL+'',1.818,'zzzzz')
16:21:41  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('489801722','Guinea Bissau',''+NULL+'',3.972,'zzzzz')
16:21:51  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1276704831','Seychelles',''+NULL+'',2.706,'emmaa')
16:21:59  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('410378140','Iceland','iceland',1.54,'zzzzz')
16:22:8  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1463729946','Hong kong',''+NULL+'',2.793,'zzzzz')
16:22:20  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1514258763','Azerbaijan',''+NULL+'',6.207,'zzzzz')
16:22:31  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-363871585','Mali','mali',0.985,'zzzzz')
16:22:42  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1491454908','Ivory Coast',''+NULL+'',3.887,'emmaa')
16:22:56  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-144471825','Liechtenstein',''+NULL+'',3.931,'zzzzz')
16:23:3  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1068545168','Jamaica','jamaica',2.081,'emmaa')
16:23:11  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-318498840','Thailand',''+NULL+'',2.199,'emmaa')
16:23:21  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1708611421','Iran','iran',0.884,'zzzzz')
16:23:29  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-920451585','Bolivia','bolivia',2.837,'zzzzz')
16:23:38  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-505613848','Cameroon',''+NULL+'',2.906,'zzzzz')
16:23:45  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-596389835','Morocco','maroc',1.456,'zzzzz')
16:23:55  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1625892740','Bosnia and Herzegovina',''+NULL+'',3.954,'zzzzz')
16:24:5  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('968691596','Sint Maarten',''+NULL+'',1.901,'zzzzz')
16:24:15  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1926502673','Czech Republic','czechia',1.574,'zzzzz')
16:24:26  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1508541509','Denmark','denmark',1.393,'zzzzz')
16:24:34  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-32635409','Tanzania',''+NULL+'',2.724,'zzzzz')
16:24:43  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1964133908','Malaysia',''+NULL+'',2.324,'zzzzz')
16:24:53  INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-598134764','England','england',2.558,'zzzzz')
